Diet,Meal,Category,Food_Item,Calories,Protein_g,Carbs_g,Fat_g
veg,Lunch,beverage,Watermelon Juice 954,92,4,20,7
veg,Lunch,dry_veg,Jeera Aloo 945,206,10,14,7
veg,Lunch,dry_veg,Baingan Bharta 957,181,6,22,8
veg,Breakfast,breakfast_item,Aloo Paratha 428,414,17,34,9
veg,Breakfast,breakfast_item,Oats Porridge 280,386,18,35,6
veg,Breakfast,beverage,Filter Coffee 441,248,5,14,1
veg,Snack,snack,Makhana 759,120,2,30,2
veg,Snack,beverage,Masala Chai 582,181,5,28,1
non-veg,Snack,snack,Boiled Egg 314,80,2,6,3
veg,Breakfast,beverage,Mango Shake 284,121,1,23,9
veg,Snack,beverage,Orange Juice 361,113,0,17,10
non-veg,Breakfast,breakfast_item,Omelette 287,244,8,57,12
veg,Dinner,soup,Manchow Soup 839,77,5,9,5
veg,Lunch,rice,Jeera Rice 407,365,7,52,2
veg,Breakfast,breakfast_item,Cheese Toast 797,486,6,44,15
non-veg,Dinner,curry,Bhuna Gosht 838,367,21,12,6
veg,Dinner,soup,Pumpkin Soup 346,82,8,5,3
veg,Lunch,flatbread,Phulka 911,189,5,16,9
veg,Snack,snack,Dhokla 27,149,13,7,2
veg,Snack,beverage,Buttermilk (Chaas) 879,226,5,26,6
veg,Breakfast,beverage,Buttermilk (Chaas) 599,235,5,28,7
veg,Breakfast,breakfast_item,Poha 8,401,10,48,17
veg,Breakfast,beverage,Coconut Water 469,156,1,36,5
veg,Breakfast,breakfast_item,Masala Dosa 382,201,6,50,7
veg,Lunch,curry,Rajma Masala 573,205,5,23,16
veg,Snack,beverage,Orange Juice 847,88,1,19,0
veg,Breakfast,breakfast_item,Pancakes 605,250,7,23,14
veg,Breakfast,beverage,Mango Shake 415,52,1,23,6
veg,Dinner,dry_veg,Beans Poriyal 345,140,4,17,6
veg,Snack,beverage,Coconut Water 706,243,3,30,1
veg,Dinner,dry_veg,Potato Fry 426,234,10,21,9
non-veg,Lunch,curry,Butter Chicken 883,311,23,29,17
veg,Lunch,curry,Mushroom Masala 275,267,10,25,14
veg,Snack,snack,Roasted Nuts 434,59,12,7,1
veg,Breakfast,beverage,Lassi 927,71,0,21,9
veg,Breakfast,beverage,Lassi 729,182,1,21,10
veg,Lunch,flatbread,Chapati 335,237,2,16,8
veg,Lunch,dry_veg,Paneer Bhurji 770,133,5,24,6
veg,Lunch,dry_veg,Cabbage Sabzi 306,156,3,15,12
veg,Lunch,dry_veg,Cabbage Sabzi 259,173,4,25,14
veg,Breakfast,breakfast_item,Poha 916,228,6,24,18
veg,Snack,beverage,Lassi 526,148,2,17,10
veg,Dinner,salad,Green Salad 806,46,7,7,0
veg,Dinner,curry,Paneer Butter Masala 452,252,24,20,8
veg,Breakfast,beverage,Orange Juice 196,222,2,24,7
veg,Snack,beverage,Orange Juice 491,235,2,33,9
veg,Breakfast,beverage,Green Tea 246,221,1,38,1
veg,Snack,snack,Bhel Puri 733,151,7,13,15
veg,Breakfast,breakfast_item,Muesli with Milk 287,201,12,28,15
veg,Lunch,rice,Ghee Rice 909,292,7,42,4
veg,Breakfast,beverage,Coconut Water 806,205,4,38,7
veg,Snack,beverage,Mango Shake 163,171,4,36,3
veg,Breakfast,beverage,Mango Shake 789,197,4,27,4
veg,Lunch,dry_veg,Cabbage Sabzi 964,122,7,21,11
veg,Dinner,salad,Corn Salad 746,46,5,9,3
veg,Breakfast,beverage,Buttermilk (Chaas) 264,235,2,24,10
veg,Snack,beverage,Green Tea 210,104,5,12,10
veg,Dinner,dry_veg,Baingan Bharta 598,176,8,23,14
veg,Snack,beverage,Filter Coffee 904,206,0,16,0
veg,Breakfast,breakfast_item,Poha 262,209,14,40,7
veg,Dinner,dry_veg,Potato Fry 24,161,2,24,15
veg,Dinner,salad,Kachumber Salad 622,96,8,11,4
non-veg,Breakfast,breakfast_item,Scrambled Eggs 622,385,12,60,5
veg,Snack,snack,Fruit Bowl 522,237,5,22,11
veg,Dinner,salad,Fruit Salad 59,84,5,10,0
veg,Lunch,beverage,Buttermilk (Chaas) 359,75,4,18,3
veg,Breakfast,breakfast_item,Upma 501,245,7,32,19
non-veg,Breakfast,breakfast_item,Omelette 597,248,9,53,12
veg,Snack,snack,Bhel Puri 964,263,2,12,15
veg,Breakfast,beverage,Orange Juice 509,153,4,39,8
